kelichi@https://hopamchuan.com/song/20543/gap-duoc-nhau-rat-kho-demo/piano_whitekey@#contribute-rating-control li:nth-child(1)
kelichi@https://hopamchuan.com/song/11080/bong-chieu-ta/thienv@#contribute-rating-control li:nth-child(5)
kelichi@https://hopamchuan.com/song/23165/mai-tim-nhau/thienv@#contribute-rating-control li:nth-child(5)
kelichi@https://hopamchuan.com/song/23141/vo-tinh-gap-co-tinh-yeu/thienv@#contribute-rating-control li:nth-child(5)
kelichi@https://hopamchuan.com/song/3479/dau-chan-ky-niem/thienv@#contribute-rating-control li:nth-child(5)
kelichi@https://hopamchuan.com/song/4840/ru-nua-vang-trang/thienv@#contribute-rating-control li:nth-child(5)
kelichi@https://hopamchuan.com/song/23119/lonely/thienv@#contribute-rating-control li:nth-child(5)
kelichi@https://hopamchuan.com/song/23097/tinh-don-coi-2-tinh-ca-doc-than/thienv@#contribute-rating-control li:nth-child(5)
kelichi@https://hopamchuan.com/song/23096/chuc-mung-nam-moi-happy-new-year/thienv@#contribute-rating-control li:nth-child(5)
kelichi@https://hopamchuan.com/song/22964/if/thienv@#contribute-rating-control li:nth-child(5)
kelichi@https://hopamchuan.com/song/306/tuoi-doi-menh-mong/thienv@#contribute-rating-control li:nth-child(5)
kelichi@https://hopamchuan.com/song/5444/tinh-ngheo-co-nhau/thienv@#contribute-rating-control li:nth-child(5)
kelichi@https://hopamchuan.com/song/922/hay-de-anh-yeu-em-lan-nua-vo-oi-anh-thuong-em/thienv@#contribute-rating-control li:nth-child(5)
kelichi@https://hopamchuan.com/song/5428/cu-the-mong-cho/thienv@#contribute-rating-control li:nth-child(5)
kelichi@https://hopamchuan.com/song/23138/anh-dang-o-dau-day-anh-adodda/thienv@#contribute-rating-control li:nth-child(5)
kelichi@https://hopamchuan.com/song/10670/nu-hon-cuoi-cung/thienv@#contribute-rating-control li:nth-child(5)
kelichi@https://hopamchuan.com/song/24166/bai-hat-cua-bom/thienv@#contribute-rating-control li:nth-child(5)
kelichi@https://hopamchuan.com/song/24146/yeu-em-dai-kho/thienv@#contribute-rating-control li:nth-child(5)
kelichi@https://hopamchuan.com/song/24143/y-xuan-hoa-hop/thienv@#contribute-rating-control li:nth-child(5)
kelichi@https://hopamchuan.com/song/6157/can-t-take-my-eyes-off-you/thienv@#contribute-rating-control li:nth-child(5)
kelichi@https://hopamchuan.com/song/24126/anh-da-mat-co-hoi-roi-day/thienv@#contribute-rating-control li:nth-child(5)
kelichi@https://hopamchuan.com/song/24125/moi-khac-gan-ben/thienv@#contribute-rating-control li:nth-child(5)
kelichi@https://hopamchuan.com/song/24124/mashup-can-lam-day-anh-dang-o-dau-day-anh-mau-nuoc-mat/thienv@#contribute-rating-control li:nth-child(5)
kelichi@https://hopamchuan.com/song/24133/vi-co-don-lau-qua/thienv@#contribute-rating-control li:nth-child(5)
kelichi@https://hopamchuan.com/song/24132/ret-qua-di/thienv@#contribute-rating-control li:nth-child(5)
kelichi@https://hopamchuan.com/song/19667/ngay-tet-viet-nam/thienv@#contribute-rating-control li:nth-child(5)
kelichi@https://hopamchuan.com/song/1482/dem-mau-xanh/thienv@#contribute-rating-control li:nth-child(5)
kelichi@https://hopamchuan.com/song/24342/em-la-may/thienv@#contribute-rating-control li:nth-child(5)
kelichi@https://hopamchuan.com/song/24329/gui-anh-nguoi-ban-doi/thienv@#contribute-rating-control li:nth-child(5)
kelichi@https://hopamchuan.com/song/24318/loi-hen-ngan-nam-3d-cung-tam-ke-ost/thienv@#contribute-rating-control li:nth-child(5)
kelichi@https://hopamchuan.com/song/24308/de-khoanh-khac-mai-dong-day/thienv@#contribute-rating-control li:nth-child(5)
kelichi@https://hopamchuan.com/song/24422/tinh-ban-que-ost-yolo-ban-chi-song-mot-lan/thienv@#contribute-rating-control li:nth-child(5)
kelichi@https://hopamchuan.com/song/24421/not-thinkin-bout-you/thienv@#contribute-rating-control li:nth-child(5)
